Month,Day,Event
2,1(수),휴 · 복학 접수 시작
2,13(월)~17(금),2023-1학기 수강신청
2,17(금)~23(목),2023-1학기 등록
2,22(수),복학 접수 마감
2,26(일),졸업예배
2,27(월),학위수여식
3,1(수),삼일절
3,2(목),개강 / 교무위원회
3,6(월)~8(수),수강신청 확인 및 변경
3,10(금)~13(월),2023-1학기 추가등록
3,13(월)~17(금),조기졸업 신청
3,15(수),미등록자 일반 휴학 접수 마감 / 등록금 전액반환 마감
4,6(목),교무위원회
4,7(금),학기 1/3선
4,9(일)~15(토),고난주간
4,9(일),부활절
4,20(목)~26(수),중간시험
4,27(목)~5.3(수),2023-2학기 캠퍼스내 소속변경 신청
4,27(목)~5.1(월),수강철회
5,1(월),근로자의 날
5,2(화)~4(목),S/U평가 신청
5,4(목),교무위원회
5,5(금),어린이날
5,10(수),은퇴교수의 날
5,13(토),창립기념일
5,15(월),학기 2/3선 / 일반휴학 접수 마감
5,27(토),부처님 오신 날
6,1(목),교무위원회 / 질병휴학 접수 마감
6,4(일),성령강림일
6,6(화),현충일
6,8(목)~14(수),자율학습 및 보충수업 기간
6,15(목)~21(수),학기말 시험
6,22(목),여름방학 시작
6,22(목)~28(수),2023-2학기 캠퍼스내 복수전공 · 연계전공 신청
6,26(월),여름계절제 수업 시작
6,28(수),2023-1학기 성적제출 마감
7,17(월),여름계절제 수업 종료
8,1(화),휴 · 복학 접수 시작
8,15(화),광복절
8,16(수)~22(화),2023-2학기 수강신청
8,18(금)~24(목),2023-2학기 등록
8,25(금),학위수여식 / 복학 접수 마감
